#options: 3840x2160 fps=50/1 timebase=1/50 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:55 out:56 type:b dur:2 cpbdur:2 q:22.87 aq:13.43 tex:3132 mv:1649 misc:3427 imb:10 pmb:437 smb:31953 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:23.13 aq:10.28 tex:124745 mv:22887 misc:6360 imb:928 pmb:2540 smb:28932 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:23.03 aq:13.77 tex:17084 mv:9561 misc:5867 imb:28 pmb:1437 smb:30935 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:22.97 aq:12.40 tex:3337 mv:2508 misc:3179 imb:9 pmb:411 smb:31980 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:23.08 aq:12.59 tex:7303 mv:5380 misc:4541 imb:25 pmb:828 smb:31547 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:23.24 aq:10.49 tex:149576 mv:37909 misc:4963 imb:2962 pmb:2121 smb:27317 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:23.18 aq:14.18 tex:71266 mv:40044 misc:6738 imb:283 pmb:3332 smb:28785 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:23.16 aq:14.22 tex:29990 mv:24009 misc:6665 imb:113 pmb:2415 smb:29872 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:23.21 aq:14.73 tex:52411 mv:30544 misc:6245 imb:264 pmb:2601 smb:29535 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:23.03 aq:9.77 tex:174376 mv:30145 misc:5799 imb:2210 pmb:1967 smb:28223 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:23.13 aq:12.76 tex:45801 mv:29281 misc:6366 imb:268 pmb:2615 smb:29517 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:23.19 aq:14.50 tex:25234 mv:26383 misc:6295 imb:298 pmb:2321 smb:29781 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:23.08 aq:15.10 tex:18159 mv:15053 misc:5276 imb:52 pmb:1602 smb:30746 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:22.70 aq:6.62 tex:206441 mv:38309 misc:5394 imb:2376 pmb:2226 smb:27798 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:22.86 aq:13.11 tex:45619 mv:32725 misc:6632 imb:311 pmb:2916 smb:29173 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:22.94 aq:13.49 tex:20101 mv:18320 misc:5531 imb:104 pmb:1861 smb:30435 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:22.78 aq:12.60 tex:24024 mv:22883 misc:6533 imb:152 pmb:2367 smb:29881 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:22.47 aq:7.50 tex:356455 mv:44075 misc:4926 imb:2142 pmb:2866 smb:27392 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:22.58 aq:12.94 tex:80996 mv:40657 misc:6883 imb:280 pmb:3358 smb:28762 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:22.64 aq:12.49 tex:48828 mv:29692 misc:6280 imb:253 pmb:2555 smb:29592 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:22.53 aq:13.04 tex:43837 mv:27137 misc:6506 imb:174 pmb:2493 smb:29733 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:22.76 aq:10.34 tex:226999 mv:32681 misc:5512 imb:1211 pmb:2861 smb:28328 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:22.62 aq:13.07 tex:44173 mv:25218 misc:6697 imb:116 pmb:2521 smb:29763 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:22.54 aq:14.55 tex:25897 mv:21893 misc:6314 imb:129 pmb:2045 smb:30226 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:22.69 aq:14.51 tex:12781 mv:10696 misc:5699 imb:43 pmb:1458 smb:30899 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:22.84 aq:10.33 tex:150312 mv:23376 misc:6112 imb:1122 pmb:2823 smb:28455 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:22.80 aq:12.90 tex:18694 mv:8297 misc:6145 imb:30 pmb:1487 smb:30883 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:22.78 aq:14.14 tex:3144 mv:1778 misc:3206 imb:8 pmb:373 smb:32019 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:22.82 aq:13.59 tex:7029 mv:4276 misc:4431 imb:16 pmb:790 smb:31594 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:22.99 aq:11.38 tex:193818 mv:39539 misc:5291 imb:2541 pmb:2248 smb:27611 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:22.91 aq:12.26 tex:50102 mv:31593 misc:7201 imb:240 pmb:2835 smb:29325 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:22.88 aq:14.55 tex:19701 mv:17291 misc:6384 imb:69 pmb:1885 smb:30446 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:22.95 aq:14.51 tex:47231 mv:32124 misc:6621 imb:238 pmb:2726 smb:29436 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:23.16 aq:9.93 tex:150903 mv:35865 misc:5016 imb:3134 pmb:1952 smb:27314 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:23.07 aq:13.51 tex:49227 mv:33696 misc:6701 imb:398 pmb:2862 smb:29140 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:23.03 aq:14.68 tex:29651 mv:26596 misc:6521 imb:243 pmb:2354 smb:29803 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:23.12 aq:14.69 tex:55703 mv:22829 misc:5932 imb:242 pmb:2250 smb:29908 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:23.01 aq:6.87 tex:185993 mv:38920 misc:5007 imb:2601 pmb:2098 smb:27701 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:23.09 aq:13.57 tex:88634 mv:31470 misc:6272 imb:263 pmb:2808 smb:29329 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:23.12 aq:14.26 tex:20987 mv:15930 misc:5323 imb:88 pmb:1610 smb:30702 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:23.05 aq:12.75 tex:28752 mv:25442 misc:6574 imb:203 pmb:2486 smb:29711 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:22.86 aq:7.15 tex:311348 mv:43432 misc:4876 imb:2519 pmb:2853 smb:27028 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:22.94 aq:13.27 tex:67917 mv:36757 misc:6966 imb:355 pmb:3151 smb:28894 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:22.97 aq:13.55 tex:21770 mv:25436 misc:6338 imb:220 pmb:2283 smb:29897 d:- ref:0 ;
